"osm_id","fclass","name","source_layer","footfall_domingo","footfall_lunes","footfall_martes","footfall_miercoles","footfall_jueves","footfall_viernes","footfall_sabado","footfall_manana_weekend","footfall_tarde_weekend","footfall_noche_weekend","footfall_madrugada_weekend","footfall_manana_semana","footfall_tarde_semana","footfall_noche_semana","footfall_madrugada_semana","avg_dwell","max_dwell","min_dwell","repeat_visit_rate_daily","peak_hour_weekday","peak_visits_weekday","peak_hour_weekend","peak_visits_weekend","total_devices","horas_con_movimiento_semana","horas_con_movimiento_finsemana"
"373848202","university","Universidad Don Bosco","gis_osm_pois_a_free_1","4.0","6.0","5.0","12.0","9.0","17.0","6.0","4.0","6.0","0.0","0.0","25.0","19.0","10.0","0.0","268.0","765","62","1.79","17","7","15","3","33","13","7"
"458366937","building","Banco Agricola Platillo","gis_osm_buildings_a_free_1","0.0","5.0","7.0","6.0","6.0","6.0","9.0","8.0","1.0","0.0","0.0","14.0","17.0","0.0","0.0","1263.0","4110","96","1.03","15","7","9","6","38","9","4"
"1214935670","building","Torre 91","gis_osm_buildings_a_free_1","6.0","6.0","7.0","8.0","9.0","11.0","12.0","5.0","2.0","7.0","6.0","16.0","8.0","11.0","12.0","0.0","0","0","1.97","6","6","0","3","30","24","12"
"399722650","building","Banco Cuscatlan","gis_osm_buildings_a_free_1","0.0","6.0","6.0","9.0","10.0","9.0","5.0","5.0","0.0","0.0","0.0","16.0","25.0","0.0","0.0","0.0","0","0","1.15","12","6","10","2","39","10","4"
"334448092","parking","Ministerio de Medio Ambiente y Recursos Naturales: MARN","gis_osm_traffic_a_free_1","0.0","13.0","11.0","10.0","10.0","6.0","2.0","1.0","2.0","0.0","0.0","35.0","23.0","4.0","0.0","26219.0","172551","70","2.08","12","4","14","1","25","14","6"
"305275746","building","KFC","gis_osm_buildings_a_free_1","6.0","8.0","1.0","8.0","9.0","8.0","7.0","3.0","7.0","3.0","0.0","3.0","16.0","15.0","0.0","502.0","1798","65","1.12","13","10","14","3","42","14","9"
"5959635","building","Lubicentro El","gis_osm_buildings_a_free_1","5.0","4.0","7.0","4.0","6.0","9.0","4.0","2.0","5.0","1.0","1.0","16.0","11.0","6.0","3.0","206410.0","1222217","114","1.34","11","5","10","2","29","22","8"
"396928999","building","Super Selectos Miralvalle","gis_osm_buildings_a_free_1","8.0","3.0","9.0","6.0","5.0","10.0","7.0","5.0","7.0","3.0","0.0","11.0","10.0","13.0","0.0","830.0","3921","62","1.37","9","5","19","3","35","13","11"
"142074502","mall","Plaza Villa del Mar","gis_osm_pois_a_free_1","6.0","4.0","2.0","5.0","5.0","8.0","8.0","2.0","9.0","3.0","0.0","6.0","15.0","2.0","1.0","3607.0","12525","66","1.06","13","5","12","5","36","13","8"
"400029607","building","Colegio Santa Isabel","gis_osm_buildings_a_free_1","8.0","2.0","6.0","5.0","6.0","8.0","9.0","7.0","7.0","3.0","0.0","6.0","11.0","10.0","0.0","50764.0","92661","173","1.16","14","5","11","3","38","13","10"
"245861404","university","Universidad de El Salvador - Facultad Multidisciplinaria de Occidente","gis_osm_pois_a_free_1","3.0","5.0","2.0","3.0","5.0","7.0","2.0","3.0","1.0","2.0","0.0","9.0","8.0","4.0","2.0","3887.0","16881","172","1.59","10","4","19","2","17","14","9"
"1307882431","residential","Lotificacion Plan de Los Amores","gis_osm_landuse_a_free_1","2.0","0.0","2.0","2.0","3.0","3.0","3.0","3.0","4.0","4.0","3.0","2.0","4.0","9.0","0.0","0.0","0","0","5.0","17","2","15","1","3","10","19"
"1124234696","park","Zona Verde","gis_osm_landuse_a_free_1","2.0","3.0","4.0","3.0","3.0","4.0","2.0","1.0","3.0","3.0","0.0","5.0","9.0","14.0","0.0","52012.0","257881","412","10.5","18","2","17","1","2","18","10"
"396263622","fuel","Uno","gis_osm_traffic_a_free_1","2.0","8.0","4.0","8.0","8.0","12.0","6.0","1.0","5.0","2.0","0.0","14.0","20.0","5.0","1.0","0.0","0","0","1.14","10","5","14","2","42","16","6"
"505926539","fuel","Texaco Buena Vista","gis_osm_traffic_a_free_1","5.0","6.0","11.0","5.0","4.0","9.0","4.0","0.0","8.0","1.0","0.0","11.0","16.0","8.0","0.0","188.0","422","68","1.13","13","5","14","2","39","14","6"
"398038072","building","Vidri Santa Ana (Bulevar Salume)","gis_osm_buildings_a_free_1","6.0","4.0","6.0","5.0","5.0","5.0","3.0","4.0","5.0","1.0","0.0","14.0","10.0","3.0","0.0","1839.0","6722","85","1.06","11","7","17","2","32","9","9"
"397360943","residential","Las Hortensias","gis_osm_landuse_a_free_1","7.0","4.0","4.0","6.0","4.0","13.0","9.0","8.0","8.0","5.0","2.0","8.0","12.0","13.0","0.0","24878.0","85176","423","1.38","22","4","12","3","34","14","15"
"1218672168","retail","EXCEL Automotriz","gis_osm_landuse_a_free_1","3.0","9.0","7.0","6.0","4.0","9.0","7.0","3.0","5.0","2.0","0.0","20.0","14.0","1.0","1.0","343.0","343","343","1.15","6","6","10","2","39","14","8"
"139809848","college","Escuela Alemana","gis_osm_pois_a_free_1","2.0","9.0","2.0","9.0","6.0","7.0","6.0","4.0","4.0","1.0","0.0","21.0","13.0","1.0","0.0","3655.0","17992","126","1.32","11","7","10","2","31","13","10"
"657903273","mall","Plaza Tunal","gis_osm_pois_a_free_1","6.0","5.0","9.0","7.0","6.0","8.0","7.0","5.0","2.0","6.0","1.0","9.0","16.0","14.0","1.0","674.0","674","674","1.45","19","6","9","3","33","16","10"
"142042831","commercial","Canal 12","gis_osm_landuse_a_free_1","3.0","6.0","8.0","10.0","8.0","12.0","8.0","4.0","5.0","1.0","1.0","8.0","20.0","21.0","0.0","3896.0","8738","228","1.62","18","4","8","2","34","13","8"
"983366100","building","Dirección General de Contabilidad Gubernamental","gis_osm_buildings_a_free_1","0.0","13.0","4.0","5.0","6.0","9.0","2.0","1.0","0.0","1.0","0.0","15.0","15.0","6.0","1.0","16728.0","80108","201","1.11","12","5","23","1","35","15","2"
"7258474","island","Isla San Sebastián","gis_osm_places_a_free_1","3.0","1.0","1.0","1.0","4.0","3.0","4.0","1.0","3.0","3.0","3.0","3.0","5.0","5.0","0.0","13561.0","85690","1139","2.13","14","4","21","2","8","17","18"
"301191049","building","65 B1","gis_osm_buildings_a_free_1","6.0","6.0","6.0","3.0","7.0","7.0","7.0","10.0","5.0","6.0","6.0","14.0","16.0","19.0","17.0","4870.0","19471","352","4.2","17","4","13","3","10","24","22"
"936780947","fuel","UNO PASATIEMPO","gis_osm_traffic_a_free_1","5.0","8.0","3.0","5.0","7.0","12.0","8.0","5.0","4.0","3.0","1.0","16.0","12.0","6.0","1.0","259.0","572","67","1.23","18","4","12","2","39","15","11"
"397519495","building","Suadisa","gis_osm_buildings_a_free_1","1.0","11.0","7.0","13.0","9.0","13.0","6.0","6.0","1.0","1.0","0.0","30.0","32.0","4.0","0.0","5531.0","65262","70","2.5","10","7","10","2","24","13","6"
"305274169","fuel","Puma La Gran Vía","gis_osm_traffic_a_free_1","7.0","4.0","4.0","10.0","7.0","5.0","4.0","6.0","3.0","2.0","0.0","9.0","13.0","8.0","1.0","1112.0","6508","63","1.05","15","4","11","2","39","19","9"
"567603901","park","Plaza José Martí","gis_osm_landuse_a_free_1","4.0","4.0","5.0","13.0","3.0","7.0","9.0","7.0","4.0","2.0","0.0","18.0","9.0","5.0","0.0","0.0","0","0","1.1","8","5","9","3","41","13","9"
"1154509605","industrial","Sherwin Williams de Centroámerica","gis_osm_landuse_a_free_1","2.0","4.0","1.0","2.0","2.0","4.0","0.0","2.0","0.0","0.0","0.0","9.0","9.0","1.0","1.0","1985.0","10029","214","1.67","15","2","7","1","9","13","2"
"8776462","park","Fuente Luminosa","gis_osm_landuse_a_free_1","3.0","4.0","6.0","6.0","10.0","11.0","3.0","2.0","1.0","3.0","0.0","11.0","18.0","7.0","1.0","0.0","0","0","1.05","14","7","21","1","41","13","6"
"396042329","residential","Residencial Nueva Orleans","gis_osm_landuse_a_free_1","9.0","13.0","14.0","11.0","8.0","16.0","11.0","7.0","7.0","12.0","7.0","18.0","12.0","38.0","24.0","20763.0","53506","73","8.2","1","5","8","3","10","23","19"
"279159023","industrial","Ingenio El Angel","gis_osm_landuse_a_free_1","2.0","5.0","4.0","11.0","3.0","6.0","0.0","0.0","0.0","1.0","1.0","16.0","15.0","1.0","0.0","2741.0","17868","97","1.15","10","7","5","1","27","13","4"
"401248309","building","Super Selectos","gis_osm_buildings_a_free_1","6.0","7.0","5.0","6.0","3.0","6.0","8.0","4.0","6.0","4.0","0.0","11.0","8.0","8.0","0.0","2097.0","9027","60","1.17","13","4","13","5","35","14","7"
"1232583706","fuel","Puma Ejercito","gis_osm_traffic_a_free_1","7.0","6.0","6.0","3.0","6.0","8.0","7.0","4.0","7.0","2.0","1.0","11.0","15.0","3.0","1.0","1326.0","3628","254","1.23","11","4","15","3","35","14","8"
"1211967924","building","Direct Plaza","gis_osm_buildings_a_free_1","2.0","7.0","5.0","9.0","6.0","9.0","7.0","6.0","6.0","1.0","4.0","23.0","26.0","16.0","8.0","0.0","0","0","9.0","12","4","14","3","5","24","17"
"7212405","beach","Playa Costa Azul","gis_osm_natural_a_free_1","9.0","3.0","1.0","1.0","0.0","6.0","17.0","8.0","14.0","13.0","8.0","2.0","4.0","7.0","0.0","35569.0","164455","652","2.18","18","4","15","5","17","11","23"
"397833201","building","Centro de Convenciones","gis_osm_buildings_a_free_1","6.0","6.0","7.0","3.0","2.0","3.0","7.0","2.0","4.0","8.0","1.0","3.0","14.0","7.0","0.0","0.0","0","0","1.31","15","6","20","5","26","11","14"
"399546791","building","Super","gis_osm_buildings_a_free_1","3.0","6.0","8.0","5.0","10.0","3.0","9.0","4.0","5.0","3.0","0.0","9.0","7.0","12.0","5.0","1516.0","10496","60","1.29","22","4","20","3","34","18","6"
"1316839468","residential","Lotificacion El Copinol","gis_osm_landuse_a_free_1","8.0","4.0","2.0","2.0","0.0","5.0","6.0","7.0","4.0","8.0","6.0","0.0","1.0","6.0","6.0","0.0","0","0","4.5","4","3","22","3","6","10","23"
